conversion_id;created_at;updated_at;status;sub_id_4;sub_id_5;sub_id_7;ts;campaign_group;country;revenue;currency;click_id
900028;2024-07-15 09:15:00;2024-07-15 09:15:00;sale;CPA;135_33054;6d13f0f94460a;Broker CO;Finance CO;co;45.0;USD;clk_co_135_33054_0
900029;2024-07-16 09:15:00;2024-07-16 09:15:00;sale;CPA;135_33054;6d13f0f94460a;Broker CO;Other;co;999.0;USD;noise_co_135_33054_0
900037;2024-07-17 09:30:00;2024-07-17 09:30:00;sale;CPA;538_;64867976a38fe;Broker CO;Finance CO;co;52.0;USD;clk_co_538__0
900038;2024-07-18 09:30:00;2024-07-18 09:30:00;sale;CPA;538_;64867976a38fe;Broker CO;Other;co;999.0;USD;noise_co_538__0
900046;2024-07-19 09:45:00;2024-07-19 09:45:00;sale;CPA;549_;b7a87beade184;Broker CO;Finance CO;co;59.0;USD;clk_co_549__0
900047;2024-07-20 09:45:00;2024-07-20 09:45:00;sale;CPA;549_;b7a87beade184;Broker CO;Other;co;999.0;USD;noise_co_549__0
900030;2024-08-10 09:15:00;2024-08-10 09:15:00;sale;email;;6d13f0f94460a;Broker CO;Finance CO;co;9.8;USD;ret_co_135_33054_0
900039;2024-08-12 09:30:00;2024-08-12 09:30:00;sale;email;;64867976a38fe;Broker CO;Finance CO;co;11.8;USD;ret_co_538__0
900048;2024-08-14 09:45:00;2024-08-14 09:45:00;sale;email;;b7a87beade184;Broker CO;Finance CO;co;13.8;USD;ret_co_549__0
900031;2024-08-26 10:15:00;2024-08-26 10:15:00;sale;CPA;135_33054;b52b13d736992;Broker CO;Finance CO;co;50.0;USD;clk_co_135_33054_1
900040;2024-08-28 10:30:00;2024-08-28 10:30:00;sale;CPA;538_;db82cc10c2c7d;Broker CO;Finance CO;co;57.0;USD;clk_co_538__1
900049;2024-08-30 10:45:00;2024-08-30 10:45:00;sale;CPA;549_;c3d081b6fa798;Broker CO;Finance CO;co;64.0;USD;clk_co_549__1
900032;2024-10-05 10:15:00;2024-10-05 10:15:00;sale;sms;;b52b13d736992;Broker CO;Finance CO;co;11.55;USD;ret_co_135_33054_1
900041;2024-10-07 10:30:00;2024-10-07 10:30:00;sale;sms;;db82cc10c2c7d;Broker CO;Finance CO;co;13.55;USD;ret_co_538__1
900050;2024-10-09 10:45:00;2024-10-09 10:45:00;sale;sms;;c3d081b6fa798;Broker CO;Finance CO;co;15.55;USD;ret_co_549__1
900033;2024-11-10 11:15:00;2024-11-10 11:15:00;sale;CPA;135_33054;dc32ef51772c6;Broker CO;Finance CO;co;55.0;USD;clk_co_135_33054_2
900042;2024-11-12 11:30:00;2024-11-12 11:30:00;sale;CPA;538_;a6b0a4970cd73;Broker CO;Finance CO;co;62.0;USD;clk_co_538__2
900051;2024-11-14 11:45:00;2024-11-14 11:45:00;sale;CPA;549_;5a94173dfd188;Broker CO;Finance CO;co;69.0;USD;clk_co_549__2
900034;2024-12-01 11:15:00;2024-12-01 11:15:00;sale;push;;dc32ef51772c6;Broker CO;Finance CO;co;13.3;USD;ret_co_135_33054_2
900043;2024-12-03 11:30:00;2024-12-03 11:30:00;sale;push;;a6b0a4970cd73;Broker CO;Finance CO;co;15.3;USD;ret_co_538__2
900052;2024-12-05 11:45:00;2024-12-05 11:45:00;sale;push;;5a94173dfd188;Broker CO;Finance CO;co;17.3;USD;ret_co_549__2
900035;2025-02-14 12:15:00;2025-02-14 12:15:00;lead;CPA;135_33054;18d6b640e1d79;Broker CO;Finance CO;co;0.0;USD;clk_co_135_33054_3
900044;2025-02-16 12:30:00;2025-02-16 12:30:00;lead;CPA;538_;c4adb484dc0b8;Broker CO;Finance CO;co;0.0;USD;clk_co_538__3
900053;2025-02-18 12:45:00;2025-02-18 12:45:00;lead;CPA;549_;fd66d9ec6d61c;Broker CO;Finance CO;co;0.0;USD;clk_co_549__3
900036;2025-02-26 12:15:00;2025-02-26 12:15:00;sale;trafficback;;18d6b640e1d79;Broker CO;Finance CO;co;15.05;USD;ret_co_135_33054_3
